소재지도로명주소,소재지지번주소,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,총 임대 농기계,,,
경상남도 고성군 영오면 옥천로 1447,,57,5,35,8,6,2,6,0,119,,,
경상남도 고성군 하일면 자란만로 1700,,47,5,43,4,5,0,5,0,109,,,
전북특별자치도 익산시 금마면 제석사지로 21-2,전북특별자치도 익산시 금마면 동고도리 952-17,45,1,35,7,10,5,0,0,103,,,
전북특별자치도 익산시 함열읍 익산대로 1366-20,전북특별자치도 익산시 함열읍 다송리 721-36,75,4,66,13,20,15,0,0,193,,,
충청남도 논산시 부적면 백일헌로 3,충청남도 논산시 부적면 덕평리 40-8,202,20,98,36,40,48,1,0,445,,,
충청북도 진천군 진천읍 삼덕1길 45-16,충청북도 진천군 진천읍 삼덕리 1519,145,58,92,33,22,16,2,1,369,,,
경상북도 성주군 선남면 운용로 1614-27,경상북도 성주군 선남면 도성리 870,48,1,7,5,4,0,0,0,65,,,
강원특별자치도 평창군 평창읍 여만길 46,강원특별자치도 평창군 평창읍 여만리 357-6,151,9,28,15,37,6,2,6,254,,,
강원특별자치도 평창군 미탄면 서동로 3597,강원특별자치도 평창군 미탄면 창리 868-1,25,0,9,6,8,0,0,0,48,,,
강원특별자치도 평창군 방림면 천제당길 42-16,강원특별자치도 평창군 방림면 방림리 752-2,53,8,19,5,16,4,2,0,107,,,
경상북도 포항시 북구 흥해읍 신흥로 572,경상북도 포항시 북구 흥해읍 매산리 16-1번지,67,3,20,3,18,3,0,2,116,,,
경상북도 포항시 북구 기계면 봉좌로 383번길 32-43,경상북도 포항시 북구 기계면 인비리 784번지,26,5,16,8,16,0,0,2,73,,,
경상북도 포항시 남구 호미곶면 해맞이로167번길 7,,14,2,7,5,6,10,0,0,44,,,
전라남도 순천시 승주읍 유흥길 48,전라남도 순천시 승주읍 유흥리 104,45,2,26,5,11,0,3,0,92,,,
전라남도 순천시 지현길 96,전라남도 순천시 덕월동 377,39,2,28,3,15,0,3,5,95,,,
전라남도 순천시 외서면 쌍향수길 369-12,전라남도 순천시 외서면 화전리 98,34,2,17,3,5,0,0,0,61,,,
강원특별자치도 정선군 북평면 송석길 146-7,강원특별자치도 정선군 북평면 남평리 412-1,58,2,37,5,70,4,2,0,178,,,
경상북도 구미시 산동면 강동로 851-21,경상북도 구미시 산동면 인덕리 520,86,5,15,16,13,7,0,0,142,,,
전북특별자치도 장수군 장수읍 와동길 56,전북특별자치도 장수군 장수읍 개정리 621,49,3,36,11,23,2,2,0,126,,,
전북특별자치도 장수군 산서면 충효로 2843,전북특별자치도 장수군 산서면 신창리 991,45,5,35,11,12,2,1,0,111,,,
전북특별자치도 장수군 번암면 지지로 70,전북특별자치도 장수군 번암면 노단리 962-4,26,5,19,9,9,2,2,0,72,,,
전북특별자치도 장수군 장계면 장무로 334-11,전북특별자치도 장수군 장계면 금덕리 637,54,5,30,11,15,2,2,0,119,,,
전북특별자치도 장수군 천천면 장천로 1144-11,전북특별자치도 장수군 천천면 봉덕리 687,26,4,24,6,7,1,2,0,70,,,
전북특별자치도 장수군 소비재로 750,전북특별자치도 장수군 계남면 신전리 2099,21,7,18,5,9,1,2,0,63,,,
전북특별자치도 장수군 계북면 소비재로 750,전북특별자치도 장수군 계북면 어전리 1239,16,3,10,3,8,1,2,0,43,,,
전북특별자치도 전주시 덕진구 원장동길 111-17,전북특별자치도 전주시 덕진구 장동 452-32,7,5,22,8,20,8,0,0,70,,,
전북특별자치도 진안군 진안읍 진무로 702-30,전북특별자치도 진안군 진안읍 반월리 1032-1,4+105,4+5,24,2,22,3,0,0,51,,,
전북특별자치도 진안군 정천면 진용로 1107,전북특별자치도 진안군 정천면 봉학리 321,2+22,3+3,6,0,18,0,0,0,24,,,
충청북도 단양군 단양읍 중앙1로 20,충청북도 단양군 단양읍 별곡리 310,39,45,35,13,19,0,1,7,159,,,
충청북도 단양군 가곡면 남한강로 1093,충청북도 단양군 가곡면 향산리 552,28,36,36,25,22,9,1,3,160,,,
충청북도 단양군 단성면 월악로 4541,충청북도 단양군 단성면 중방리 414,18,16,24,9,9,9,0,6,91,,,
충청북도 단양군 매포읍 단양산업단지2로 90-14,충청북도 단양군 매포읍 우덕리 893,19,23,20,10,7,7,0,5,91,,,
,전북특별자치도 김제시 공덕면 황산리 1502-1,102,0,47,18,28,10,0,0,205,,,
인천광역시 옹진군 북도면 시도로 86번길 78,인천광역시 옹진군 북도면 시도리 277-7,27,8,34,5,4,0,0,0,78,,,
인천광역시 옹진군 북도면 장봉로 694번길 16,인천광역시 옹진군 북도면 장봉리 546-3,16,6,26,3,5,0,0,0,56,,,
